5.08801,2.5,4.31081,0.568666,0.384909,0.726956
6.61685,2.5,-6.20614,0.729989,0.240826,-0.639624
3.02305,2.5,5.60172,0.364139,0.293336,0.883944
0.778967,2.5,1.0646,0.122886,0.967607,0.220536
0.0949483,2.5,-1.03611,-0.00545921,0.938668,-0.344779
8.49171,2.5,1.45794,0.876621,0.456554,0.15197
-8.46398,2.5,-4.15774,-0.883132,0.262899,-0.388539
0.996698,2.5,0.639729,-0.142684,0.951935,0.271037
0.102085,2.5,0.481936,-0.388922,0.914757,0.109355
0.0654775,2.5,-1.95369,-0.106528,0.82757,-0.551163
4.28824,2.5,-0.725291,0.978357,0.198269,0.0592164
1.05443,2.5,-1.38357,-0.0172135,0.955179,-0.295527
-0.623294,2.5,-0.916922,-0.360484,0.930254,-0.0684048
-0.166501,2.5,-0.522637,-0.0307421,0.994629,-0.0988338
-0.813367,2.5,-0.252132,-0.153891,0.986943,-0.0475537
-8.70634,2.5,9.10645,-0.641369,0.204098,0.739587
2.54392,2.5,0.975241,0.641708,0.749769,0.161421
-7.52528,2.5,0.257864,-0.840279,0.541111,0.0336137
7.94985,2.5,0.167918,0.928883,0.351734,0.116017
-0.142468,2.5,-2.27982,0.223452,0.821927,-0.523932
-5.57701,2.5,2.34271,-0.823148,0.338677,0.455768
1.46859,2.5,-1.79747,0.288324,0.890139,-0.352875
-0.867159,2.5,0.835269,-0.00386856,0.915013,0.403405
-0.528029,2.5,1.78939,-0.0890198,0.837461,0.539198
7.85867,2.5,2.73398,0.910778,0.276397,0.306737
-0.503029,2.5,-0.631302,-0.0962171,0.987833,-0.122182
3.14752,2.5,-1.82106,0.629617,0.575507,-0.521895
-11.1617,2.5,-4.04163,-0.938452,0.243364,-0.245116
-6.69898,2.5,-2.25725,-0.881966,0.396989,-0.254041
-2.2821,2.5,-4.31716,-0.284962,0.83587,-0.469168
1.55445,2.5,-4.10975,0.400873,0.630002,-0.66513
0.388389,2.5,1.09996,0.0768773,0.975173,0.207672
0.00629125,2.5,-2.47004,-0.358745,0.73053,-0.581058
-2.03335,2.5,1.69368,-0.381038,0.783311,0.491156
-0.122342,2.5,0.774913,-0.169634,0.965584,0.197158
0.352674,2.5,3.93555,0.0770307,0.764388,0.640138
-3.63225,2.5,1.12526,-0.644933,0.725255,0.24097
5.08801,2.5,4.31081,0.568666,0.384909,0.726956
6.61685,2.5,-6.20614,0.729989,0.240826,-0.639624
3.02305,2.5,5.60172,0.364139,0.293336,0.883944
0.778967,2.5,1.0646,0.122886,0.967607,0.220536
0.0949483,2.5,-1.03611,-0.00545921,0.938668,-0.344779
8.49171,2.5,1.45794,0.876621,0.456554,0.15197
-8.46398,2.5,-4.15774,-0.883132,0.262899,-0.388539
0.996698,2.5,0.639729,-0.142684,0.951935,0.271037
0.102085,2.5,0.481936,-0.388922,0.914757,0.109355
0.0654775,2.5,-1.95369,-0.106528,0.82757,-0.551163
4.28824,2.5,-0.725291,0.978357,0.198269,0.0592164
1.05443,2.5,-1.38357,-0.0172135,0.955179,-0.295527
-0.623294,2.5,-0.916922,-0.360484,0.930254,-0.0684048
-0.166501,2.5,-0.522637,-0.0307421,0.994629,-0.0988338
-0.813367,2.5,-0.252132,-0.153891,0.986943,-0.0475537
-8.70634,2.5,9.10645,-0.641369,0.204098,0.739587
2.54392,2.5,0.975241,0.641708,0.749769,0.161421
-7.52528,2.5,0.257864,-0.840279,0.541111,0.0336137
7.94985,2.5,0.167918,0.928883,0.351734,0.116017
-0.142468,2.5,-2.27982,0.223452,0.821927,-0.523932
-5.57701,2.5,2.34271,-0.823148,0.338677,0.455768
1.46859,2.5,-1.79747,0.288324,0.890139,-0.352875
-0.867159,2.5,0.835269,-0.00386856,0.915013,0.403405
-0.528029,2.5,1.78939,-0.0890198,0.837461,0.539198
7.85867,2.5,2.73398,0.910778,0.276397,0.306737
-0.503029,2.5,-0.631302,-0.0962171,0.987833,-0.122182
3.14752,2.5,-1.82106,0.629617,0.575507,-0.521895
-11.1617,2.5,-4.04163,-0.938452,0.243364,-0.245116
-6.69898,2.5,-2.25725,-0.881966,0.396989,-0.254041
-2.2821,2.5,-4.31716,-0.284962,0.83587,-0.469168
1.55445,2.5,-4.10975,0.400873,0.630002,-0.66513
0.388389,2.5,1.09996,0.0768773,0.975173,0.207672
0.00629125,2.5,-2.47004,-0.358745,0.73053,-0.581058
-2.03335,2.5,1.69368,-0.381038,0.783311,0.491156
-0.122342,2.5,0.774913,-0.169634,0.965584,0.197158
0.352674,2.5,3.93555,0.0770307,0.764388,0.640138
-3.63225,2.5,1.12526,-0.644933,0.725255,0.24097
5.08801,2.5,4.31081,0.568666,0.384909,0.726956
6.61685,2.5,-6.20614,0.729989,0.240826,-0.639624
3.02305,2.5,5.60172,0.364139,0.293336,0.883944
0.778967,2.5,1.0646,0.122886,0.967607,0.220536
0.0949483,2.5,-1.03611,-0.00545921,0.938668,-0.344779
8.49171,2.5,1.45794,0.876621,0.456554,0.15197
-8.46398,2.5,-4.15774,-0.883132,0.262899,-0.388539
0.996698,2.5,0.639729,-0.142684,0.951935,0.271037
0.102085,2.5,0.481936,-0.388922,0.914757,0.109355
0.0654775,2.5,-1.95369,-0.106528,0.82757,-0.551163
4.28824,2.5,-0.725291,0.978357,0.198269,0.0592164
1.05443,2.5,-1.38357,-0.0172135,0.955179,-0.295527
-0.623294,2.5,-0.916922,-0.360484,0.930254,-0.0684048
-0.166501,2.5,-0.522637,-0.0307421,0.994629,-0.0988338
-0.813367,2.5,-0.252132,-0.153891,0.986943,-0.0475537
-8.70634,2.5,9.10645,-0.641369,0.204098,0.739587
